Date,Account,Payee,Category Group,Category,Tags,Memo,Amount,In/Out,Source,ImportId
2025-09-19,BPI Main,Transfer : SAVINGS - CIMB GSave,Transfers,Internal Transfers,transfer,Fund Transfer,13200.0,Inflow,YNAB,15
2025-09-19,BPI Main,Transfer : SAVINGS - BPI Direct Save Up,Transfers,Internal Transfers,transfer,Fund Transfer,15000.0,Inflow,YNAB,16
2025-09-19,BPI Main,Refunds / Payment,Uncategorized / Review,To Triage,review,953 Refund,31000.0,Inflow,YNAB,17
2025-09-19,Union Bank Rewards Visa Platinum,Transfer : Union Bank Debit,Transfers,Internal Transfers,transfer,Sept Statement,37636.8,Inflow,YNAB,18
2025-09-19,Union Bank Debit,Transfer : BPI Main,Transfers,Internal Transfers,transfer,Fund Transfer,50000.0,Inflow,YNAB,19
2025-09-19,BPI Credit Card,Transfer : BPI Main,Transfers,Internal Transfers,transfer,Sept 2025 Statement Bill,83321.92,Inflow,YNAB,20
2025-09-18,BPI Main,Transfer : BPI PERSONAL LOAN 2026,Transfers,Internal Transfers,transfer,PERSONAL ALS PAYMENT SEPT 2025,18097.94,Outflow,YNAB,21
2025-09-18,BPI PERSONAL LOAN 2026,Transfer : BPI Main,Transfers,Internal Transfers,transfer,PERSONAL ALS PAYMENT SEPT 2025,18097.94,Inflow,YNAB,22
2025-09-17,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,LIOTOG Bluetooth Thermal Printer,641.0,Outflow,YNAB,23
2025-09-17,Union Bank Rewards Visa Platinum,Manual Balance Adjustment,Uncategorized / Review,To Triage,review,,1170.91,Inflow,YNAB,24
2025-09-17,RCBC Hexagon Previledge Platinum,Manual Balance Adjustment,Uncategorized / Review,To Triage,review,,3116.71,Inflow,YNAB,25
2025-09-17,HSBC Gold Visa Cashback,Manual Balance Adjustment,Uncategorized / Review,To Triage,review,,5484.69,Inflow,YNAB,26
2025-09-16,RCBC UNLIPAY - ASICS GEL NYC,Starting Balance,Uncategorized / Review,To Triage,review,,8190.0,Outflow,YNAB,27
2025-09-16,BPI Credit Card,Manual Balance Adjustment,Uncategorized / Review,To Triage,review,,4809.0,Outflow,YNAB,28
2025-09-16,BPI Main,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,953 C Aragon - Maynilad,897.02,Outflow,YNAB,29
2025-09-16,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,BAGSMART Toiletry Bag,611.45,Outflow,YNAB,30
2025-09-16,Union Bank Rewards Visa Platinum,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,TIktok - Wall Mounted Colander,370.0,Outflow,YNAB,31
2025-09-15,BPI Main,Transfer : Tiktok Shop Paylater,Transfers,Internal Transfers,transfer,"Tiktok Paylater 722.68+13,105.84",13828.52,Outflow,YNAB,32
2025-09-15,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Foldble Ironing Pad,528.3,Outflow,YNAB,33
2025-09-15,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,20pcs Long Nib Marker,201.0,Outflow,YNAB,34
2025-09-15,BPI Main,Fund Transfer - Marifel,Transfers,Internal Transfers,transfer,Ate Refund Nanay Allowance,5000.0,Inflow,YNAB,35
2025-09-15,Tiktok Shop Paylater,Transfer : BPI Main,Transfers,Internal Transfers,transfer,"Tiktok Paylater 722.68+13,105.84",13828.52,Inflow,YNAB,36
2025-09-14,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Food Panda - Bulalo,330.0,Outflow,YNAB,37
2025-09-14,HSBC Gold Visa Cashback,Drinks,Uncategorized / Review,To Triage,review,Coffee Bean - Tea,175.0,Outflow,YNAB,38
2025-09-14,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Jollibee - Food,166.0,Outflow,YNAB,39
2025-09-14,HSBC Gold Visa Cashback,Drinks,Uncategorized / Review,To Triage,review,Zus Coffee - Sea Salt Spanish Latte,164.0,Outflow,YNAB,40
2025-09-13,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,IKEA Pasay,7866.0,Outflow,YNAB,41
2025-09-13,Union Bank Rewards Visa Platinum,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Goodest Cat Food,462.0,Outflow,YNAB,42
2025-09-13,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,IKEA Food Court,435.0,Outflow,YNAB,43
2025-09-13,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Plastic Shoe Box,356.0,Outflow,YNAB,44
2025-09-13,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Llao LLao SM MOA,209.0,Outflow,YNAB,45
2025-09-13,HSBC Gold Visa Cashback,Drinks,Uncategorized / Review,To Triage,review,Zus Coffee,140.0,Outflow,YNAB,46
2025-09-12,HSBC Gold Visa Cashback,Transfer : HSBC Credit to Cash,Transfers,Internal Transfers,transfer,Monthly 04/12,5915.26,Outflow,YNAB,47
2025-09-12,BPI Credit Card,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Shampoo Bittle Dispenser 345 + 1156,1501.0,Outflow,YNAB,48
2025-09-12,BPI Main,Family,Uncategorized / Review,To Triage,review,Additional Alloawance,1000.0,Outflow,YNAB,49
2025-09-12,Union Bank Rewards Visa Platinum,Family,Uncategorized / Review,To Triage,review,Pipot Skin Spray,332.26,Outflow,YNAB,50
2025-09-12,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Jollibee,276.0,Outflow,YNAB,51
2025-09-12,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Food Panda - Zus Coffee,164.0,Outflow,YNAB,52
2025-09-12,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,1 pc Cotton  T Shirt,141.64,Outflow,YNAB,53
2025-09-12,Union Bank Rewards Visa Platinum,Entertainment / Subs,Uncategorized / Review,To Triage,review,Magic Chess Diamond,117.6,Outflow,YNAB,54
2025-09-12,HSBC Credit to Cash,Transfer : HSBC Gold Visa Cashback,Transfers,Internal Transfers,transfer,Monthly 04/12,5915.26,Inflow,YNAB,55
2025-09-11,BPI Credit Card,Transfer : BPI SIP - Abenson / Ate May Bria,Transfers,Internal Transfers,transfer,Sept 2025 Conversion 4 03/12,4107.91,Outflow,YNAB,56
2025-09-11,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Handyman Ermita - 2 Gallons Waterproofing Paint + Paintbrush etc,3644.0,Outflow,YNAB,57
2025-09-11,BPI Main,Family,Uncategorized / Review,To Triage,review,Ma Cleofe Fund Transfer Allowance,3000.0,Outflow,YNAB,58
2025-09-11,BPI Credit Card,Transfer : BPI MONTERO Insurance,Transfers,Internal Transfers,transfer,Sept 2025 02/09,2666.34,Outflow,YNAB,59
2025-09-11,BPI Main,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Aragon Internet Bills,1899.0,Outflow,YNAB,60
2025-09-11,BPI Credit Card,Transfer : BPI  Uniqlo Installment,Transfers,Internal Transfers,transfer,Uniqlo Installment 02/03,1847.33,Outflow,YNAB,61
2025-09-11,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Smoochkins Lotion,788.0,Outflow,YNAB,62
2025-09-11,Union Bank Rewards Visa Platinum,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Threadmill Lubricant + Dishwashing Liquid 216.32 + 496.8,713.12,Outflow,YNAB,63
2025-09-11,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,McDonalds,284.0,Outflow,YNAB,64
2025-09-11,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,La Sole Manila - Hydropel,255.76,Outflow,YNAB,65
2025-09-11,Union Bank Rewards Visa Platinum,Bria - Ate Mai,Uncategorized / Review,To Triage,review,2 Pcs Set Refrigerator Stand,248.1,Outflow,YNAB,66
2025-09-11,Union Bank Rewards Visa Platinum,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Barbell Clamps,224.0,Outflow,YNAB,67
2025-09-11,BPI Credit Card,Drinks,Uncategorized / Review,To Triage,review,Zus Coffee,205.0,Outflow,YNAB,68
2025-09-11,Union Bank Rewards Visa Platinum,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Google TP Link Sub,175.0,Outflow,YNAB,69
2025-09-11,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Petfood Container,170.0,Outflow,YNAB,70
2025-09-11,BPI  Uniqlo Installment,Transfer : BPI Credit Card,Transfers,Internal Transfers,transfer,Uniqlo Installment 02/03,1847.33,Inflow,YNAB,71
2025-09-11,BPI MONTERO Insurance,Transfer : BPI Credit Card,Transfers,Internal Transfers,transfer,Sept 2025 02/09,2666.34,Inflow,YNAB,72
2025-09-11,Union Bank Rewards Visa Platinum,Refunds / Payment,Uncategorized / Review,To Triage,review,Nike Refund,3569.0,Inflow,YNAB,73
2025-09-11,BPI SIP - Abenson / Ate May Bria,Transfer : BPI Credit Card,Transfers,Internal Transfers,transfer,Sept 2025 Conversion 4 03/12,4107.91,Inflow,YNAB,74
2025-09-10,BPI Credit Card,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Paper Towell Holder + Kitchen Faucet,995.0,Outflow,YNAB,75
2025-09-10,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Alcohol - Best Lab,491.0,Outflow,YNAB,76
2025-09-10,BPI Credit Card,Shopee,Uncategorized / Review,To Triage,review,Tyles Smart Plug,322.0,Outflow,YNAB,77
2025-09-10,BPI Credit Card,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Wall Faucet,289.0,Outflow,YNAB,78
2025-09-10,BPI Credit Card,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Bidet Sprayer - BAOKEMO,254.0,Outflow,YNAB,79
2025-09-09,RCBC Hexagon Previledge Platinum,"Transfer : RCBC UNLIPAY - ATE BRIA Mansueto Aircon 34,153",Transfers,Internal Transfers,transfer,MANSUETO AIRCON 03/12,3188.2,Outflow,YNAB,80
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - ASICS GEL NYC,Transfers,Internal Transfers,transfer,SONAK ASIA 02/03,2730.0,Outflow,YNAB,81
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - Black Ember Backpack,Transfers,Internal Transfers,transfer,Black ember 03/09,2549.19,Outflow,YNAB,82
2025-09-09,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Dumbbell Bench ,2258.0,Outflow,YNAB,83
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - CEBU PAC Tatay Fare 07.17-29.2025,Transfers,Internal Transfers,transfer,Cebu Pac Tatay 02/03,2150.37,Outflow,YNAB,84
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY -  Addidas Ultra Boost 5,Transfers,Internal Transfers,transfer,ADIDAS 01/06,1589.14,Outflow,YNAB,85
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - IKEA Ate Mai Purchase,Transfers,Internal Transfers,transfer,IKEA 02/06,1573.41,Outflow,YNAB,86
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - Amazon Supplements,Transfers,Internal Transfers,transfer,AMAZON 01/06,1482.06,Outflow,YNAB,87
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - PAL AIR TICKETS 7907,Transfers,Internal Transfers,transfer,PAL TICKETS 02/06,1396.92,Outflow,YNAB,88
2025-09-09,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,3 Ceiling Fan with LED,1337.0,Outflow,YNAB,89
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - MITSUBISHI MONTERO Maintenance,Transfers,Internal Transfers,transfer,MONTERO MAINTENANCE,1036.4,Outflow,YNAB,90
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - TOM FORD EAU DE SOLEI BLANC EBAY US,Transfers,Internal Transfers,transfer,EBAY TOM FORD 02/06,991.33,Outflow,YNAB,91
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - JAY CASTILLO,Transfers,Internal Transfers,transfer,JAY CASTILLO 04/12,746.58,Outflow,YNAB,92
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - WISER PUTA SUB,Transfers,Internal Transfers,transfer,WISER - GOOGLE SN02/09,691.82,Outflow,YNAB,93
2025-09-09,RCBC Hexagon Previledge Platinum,Transfer : RCBC UNLIPAY - A1 Driving School Php 6400 ,Transfers,Internal Transfers,transfer,37UNLIPAY 05/12,597.44,Outflow,YNAB,94
2025-09-09,BPI Credit Card,Personal Effects,Uncategorized / Review,To Triage,review,Dry Compression Boxer Shorts,536.0,Outflow,YNAB,95
2025-09-09,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Foldable Magnetic Phone Holder,294.96,Outflow,YNAB,96
2025-09-09,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Chowking,199.0,Outflow,YNAB,97
2025-09-09,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Screen Daddy,174.37,Outflow,YNAB,98
2025-09-09,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Remote Control Magnetic Holder ,132.0,Outflow,YNAB,99
2025-09-09,RCBC UNLIPAY - A1 Driving School Php 6400 ,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,37UNLIPAY 05/12,597.44,Inflow,YNAB,100
2025-09-09,RCBC UNLIPAY - WISER PUTA SUB,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,WISER - GOOGLE SN02/09,691.82,Inflow,YNAB,101
2025-09-09,RCBC UNLIPAY - JAY CASTILLO,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,JAY CASTILLO 04/12,746.58,Inflow,YNAB,102
2025-09-09,RCBC UNLIPAY - TOM FORD EAU DE SOLEI BLANC EBAY US,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,EBAY TOM FORD 02/06,991.33,Inflow,YNAB,103
2025-09-09,RCBC UNLIPAY - MITSUBISHI MONTERO Maintenance,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,MONTERO MAINTENANCE,1036.4,Inflow,YNAB,104
2025-09-09,RCBC UNLIPAY - PAL AIR TICKETS 7907,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,PAL TICKETS 02/06,1396.92,Inflow,YNAB,105
2025-09-09,RCBC UNLIPAY - Amazon Supplements,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,AMAZON 01/06,1482.06,Inflow,YNAB,106
2025-09-09,RCBC UNLIPAY - IKEA Ate Mai Purchase,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,IKEA 02/06,1573.41,Inflow,YNAB,107
2025-09-09,RCBC UNLIPAY -  Addidas Ultra Boost 5,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,ADIDAS 01/06,1589.14,Inflow,YNAB,108
2025-09-09,RCBC UNLIPAY - CEBU PAC Tatay Fare 07.17-29.2025,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,Cebu Pac Tatay 02/03,2150.37,Inflow,YNAB,109
2025-09-09,RCBC UNLIPAY - Black Ember Backpack,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,Black ember 03/09,2549.19,Inflow,YNAB,110
2025-09-09,RCBC UNLIPAY - ASICS GEL NYC,Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,SONAK ASIA 02/03,2730.0,Inflow,YNAB,111
2025-09-09,"RCBC UNLIPAY - ATE BRIA Mansueto Aircon 34,153",Transfer : RCBC Hexagon Previledge Platinum,Transfers,Internal Transfers,transfer,MANSUETO AIRCON 03/12,3188.2,Inflow,YNAB,112
2025-09-08,BPI Main,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Bria Phase 2 - Full Pyament,12000.0,Outflow,YNAB,113
2025-09-08,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Camel Crown Sneakers,1821.69,Outflow,YNAB,114
2025-09-08,BPI Credit Card,Entertainment / Subs,Uncategorized / Review,To Triage,review,Openai - ChatGOT,1305.72,Outflow,YNAB,115
2025-09-08,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Smoochkins Ceramide Moisturizer,698.0,Outflow,YNAB,116
2025-09-08,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Perfume - Father and Sons Sailor,679.0,Outflow,YNAB,117
2025-09-08,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Perfume - Father and Sons Vesper,679.0,Outflow,YNAB,118
2025-09-08,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Muragame Udon Rockwell,430.0,Outflow,YNAB,119
2025-09-08,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,3 Layers Ventilated Food Cover,428.0,Outflow,YNAB,120
2025-09-08,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Arbutin Body Serum,416.83,Outflow,YNAB,121
2025-09-08,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Silk Pillow Case,326.0,Outflow,YNAB,122
2025-09-08,Union Bank Rewards Visa Platinum,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,12 inch Wall Clock,256.68,Outflow,YNAB,123
2025-09-08,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Laundry Finishing Spray,242.1,Outflow,YNAB,124
2025-09-07,BPI Credit Card,Shopee,Uncategorized / Review,To Triage,review,Essential Oil Diffuser,951.0,Outflow,YNAB,125
2025-09-07,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,5 Step Ladder,903.0,Outflow,YNAB,126
2025-09-07,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,INSSA x SIMPLUS Drip Filter Coffee Maker,471.0,Outflow,YNAB,127
2025-09-07,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,MOLYCULE Fragrance Diffuser,455.0,Outflow,YNAB,128
2025-09-07,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Electronic Aroma Diffuser,329.0,Outflow,YNAB,129
2025-09-07,BPI Credit Card,Shopee,Uncategorized / Review,To Triage,review,Simplus Humidifier,284.0,Outflow,YNAB,130
2025-09-07,BPI Credit Card,Shopee,Uncategorized / Review,To Triage,review,Thunlit Magnetic Light,253.0,Outflow,YNAB,131
2025-09-07,BPI Credit Card,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Baokemo Faucet and Faucet filet,242.0,Outflow,YNAB,132
2025-09-06,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Electric Threadmill ,13789.0,Outflow,YNAB,133
2025-09-06,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Explosion Proof Mirros 2x,1788.0,Outflow,YNAB,134
2025-09-06,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Drawstring Bath Sponge Bath,395.0,Outflow,YNAB,135
2025-09-06,Union Bank Rewards Visa Platinum,Bria - Ate Mai,Uncategorized / Review,To Triage,review,304 Stainless Floor Drain,113.0,Outflow,YNAB,136
2025-09-05,BPI Credit Card,Personal Effects,Uncategorized / Review,To Triage,review,`Shoe Lace,271.0,Outflow,YNAB,137
2025-09-05,BPI Main,Fund Transfer - 3rd Party,Transfers,Internal Transfers,transfer,Thelmo Payment - 953 C Aragon,11000.0,Inflow,YNAB,138
2025-09-05,BPI Main,Fund Transfer - Marifel,Transfers,Internal Transfers,transfer,Ate May Fund Transfer,40000.0,Inflow,YNAB,139
2025-09-04,BPI Credit Card,Dining Out,Uncategorized / Review,To Triage,review,The Alley by Viking - Ayala Mall,5690.0,Outflow,YNAB,140
2025-09-04,BPI Credit Card,Communication,Uncategorized / Review,To Triage,review,Smart Monthly,607.15,Outflow,YNAB,141
2025-09-04,BPI Credit Card,Personal Effects,Uncategorized / Review,To Triage,review,Perfume Decant - Lataffa Fakhar Black,157.0,Outflow,YNAB,142
2025-09-03,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Nike Cit1 Shoe - Size 9,3819.0,Outflow,YNAB,143
2025-09-03,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Nike Cit1 Shoes - Size 10 + Delivery,3819.0,Outflow,YNAB,144
2025-09-03,BPI Credit Card,Family,Uncategorized / Review,To Triage,review,Birch Tree Milk,2870.0,Outflow,YNAB,145
2025-09-03,BPI Credit Card,Family,Uncategorized / Review,To Triage,review,Bear Brand Milk,1350.0,Outflow,YNAB,146
2025-09-03,BPI Credit Card,Family,Uncategorized / Review,To Triage,review,Pride Detergents,713.0,Outflow,YNAB,147
2025-09-03,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Hawker Chan SM MOA,279.0,Outflow,YNAB,148
2025-09-03,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Laundry Bag,268.0,Outflow,YNAB,149
2025-09-03,HSBC Gold Visa Cashback,Drinks,Uncategorized / Review,To Triage,review,Starbucks,190.0,Outflow,YNAB,150
2025-09-02,BPI Main,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Bria Phase 1 Full Payment,12000.0,Outflow,YNAB,151
2025-09-02,BPI Main,Family,Uncategorized / Review,To Triage,review,SOCOTECO 2 - Family Home Electricity,2695.01,Outflow,YNAB,152
2025-09-02,BPI Main,Entertainment / Subs,Uncategorized / Review,To Triage,review,TG Sub,1200.0,Outflow,YNAB,153
2025-09-02,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,Portable Charger + Heavy Duty Brackets ,437.0,Outflow,YNAB,154
2025-09-02,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Gym Weightlifting Gloves,262.0,Outflow,YNAB,155
2025-09-02,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,1 Pair Power Lifting Support,253.88,Outflow,YNAB,156
2025-09-02,Union Bank Rewards Visa Platinum,Entertainment / Subs,Uncategorized / Review,To Triage,review,V380 App Sub,118.8,Outflow,YNAB,157
2025-09-01,BPI Main,Bria - Ate Mai,Uncategorized / Review,To Triage,review,Bria Cascade Phase 1 Materials Budget - Honey,8000.0,Outflow,YNAB,158
2025-09-01,BPI Main,Transfer : Cash - Wallet,Transfers,Internal Transfers,transfer,Cash Withdrawal,5000.0,Outflow,YNAB,159
2025-09-01,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Peri-Peri Chicken,1119.75,Outflow,YNAB,160
2025-09-01,Union Bank Rewards Visa Platinum,Entertainment / Subs,Uncategorized / Review,To Triage,review,Google Suit,1002.82,Outflow,YNAB,161
2025-09-01,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Sr Squirrel Shirataki Rice,796.44,Outflow,YNAB,162
2025-09-01,BPI Credit Card,953 Aragon Utilities ,Uncategorized / Review,To Triage,review,"Ace Hardware - Microfiber Cloth, Screws,  Brackets etx",665.25,Outflow,YNAB,163
2025-09-01,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,Wendies,383.0,Outflow,YNAB,164
2025-09-01,HSBC Gold Visa Cashback,Dining Out,Uncategorized / Review,To Triage,review,McDonals,293.0,Outflow,YNAB,165
2025-09-01,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Cold Brew Bottle,247.45,Outflow,YNAB,166
2025-09-01,Union Bank Rewards Visa Platinum,Tiktok,Uncategorized / Review,To Triage,review,Ceramic Jumbo Mag,191.0,Outflow,YNAB,167
2025-09-01,Union Bank Rewards Visa Platinum,Entertainment / Subs,Uncategorized / Review,To Triage,review,V380 Subs,178.49,Outflow,YNAB,168
2025-09-01,BPI Credit Card,Personal Effects,Uncategorized / Review,To Triage,review,Suplements and Personal Meds,145.38,Outflow,YNAB,169
2025-09-01,BPI Main,Fees - Credit Card,Uncategorized / Review,To Triage,review,Withdrawal Fees,15.0,Outflow,YNAB,170
2025-09-01,Cash - Wallet,Transfer : BPI Main,Transfers,Internal Transfers,transfer,Cash Withdrawal,5000.0,Inflow,YNAB,171
2025-08-31,BPI Credit Card,Personal Effects,Uncategorized / Review,To Triage,review,Rob Ermita - Socks,380.0,Outflow,YNAB,172
2025-08-30,BPI Credit Card,Work Related Expences,Uncategorized / Review,To Triage,review,"IKEA - Cooling Bed Mats, Pillow Case etc",4523.0,Outflow,YNAB,173
2025-08-30,BPI Credit Card,Groceries,Uncategorized / Review,To Triage,review,SM Hypermarket - Groceries,2522.0,Outflow,YNAB,174
2025-08-30,BPI Credit Card,Personal Effects,Health & Insurance,Medications & Vitamins,,Nestea Cleanse,846.0,Outflow,YNAB,175
